City,Street,Lat,Long,Region,Partner,Bonus,Materials
Москва,"Москва, г Москва, ул Адмирала Лазарева, 58","55,5414","37,5133",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ул Гиляровского, 50","55,7857","37,633",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ул Красноармейская, 2","55,79769","37,553165",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ул Новокузнецкая, 13","55,731818","37,635136",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ул Сельскохозяйственная, 17 к.1","55,837","37,635",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ул Чертановская, 41 К1","55,609062","37,591133",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Москва,"Москва, г Москва, ш Дмитровское, 37 корпус 1","55,8307","37,5727",Москва,Муниципалитет,10 бонусов за 1кг,Пластик; Бумага; Стекло
Нижний Новгород,"Нижегородская область, г Нижний Новгород, ул Аркадия Гайдара, 50","56,215848","43,834175",Нижегородская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Нижний Новгород,"Нижегородская область, г Нижний Новгород, ул Нижне-Валдайская, 29","56,2491","43,9974",Нижегородская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Новосибирск,"Новосибирская область, г Новосибирск, ул Крылова, 29","55,0411","82,9286",Новосибирская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Омск,"Омская область, г Омск, ул Дианова, 18","54,9944","73,2458",Омская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Оренбург,"Оренбургская область, г Оренбург, ул Салмышская, 11 1","51,8383","55,145",Оренбургская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Пермь,"Пермский край, г Пермь, ул Максима Горького, 21","58,0139","56,2533",Пермский край,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Ростов-на-Дону,"Ростовская область, г Ростов-на-Дону, пр-кт Шолохова, 316","47,1622","39,4927",Ростовская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Ростов-на-Дону,"Ростовская область, г Ростов-на-Дону, ул Профсоюзная, 124","47,1257","39,4049",Ростовская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Рязань,"Рязанская область, г Рязань, ул Циолковского, 25","54,609469","39,762471",Рязанская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Самара,"Самарская область, г Самара, ул Победы, 126","53,221203","50,26684",Самарская область,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Санкт-Петербург,"Санкт-Петербург, г Санкт-Петербург, пр-кт Большевиков, 24","59,8839","30,4303",Санкт-Петербург,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Санкт-Петербург,"Санкт-Петербург, г Санкт-Петербург, пр-кт Луначарского, 104","60,0256","30,4106",Санкт-Петербург,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Санкт-Петербург,"Санкт-Петербург, г Санкт-Петербург, пр-кт Шафировский, 2","59,9919","30,435",Санкт-Петербург,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
Санкт-Петербург,"Санкт-Петербург, г Санкт-Петербург, ул Лени Голикова, 2","59,8425","30,23",Санкт-Петербург,Муниципалитет,Бонусов нет,Пластик; Бумага; Стекло
