CodeFKKO,WasteName,OriginWaste,TechnologicalProcess,CompositionWaste,CompositionMin,CompositionMax,StateOfAggregation,HazardClass,Note
3 44 610 01 39 4,отходы очистки смазочно-охлаждающей жидкости при обработке керамических изделий шлифованием ,Производство прочих фарфоровых и керамических изделий,Очистка смазочно-охлаждающей жидкости при обработке керамических изделий шлифованием ,"Керамика
Вода
",,,прочие дисперсные системы,IV,Может содержать триэтаноламин как компонет смазочно-охлаждающей жидкости
3 45 100 01 20 5,цемент некондиционный,Производство цемента,,Цемент,,,твердое ,V,
3 45 100 11 42 3,пыль цементная,Производство цемента,,Цемент,,,пыль,III,
3 46 120 01 42 4,отходы бетонной смеси в виде пыли,Производство сухих бетонных смесей,,"Вода 
Песок 
Цемент",,,пыль ,IV,
3 46 200 01 20 5,бой бетонных изделий,Производство изделий из бетона для использования в строительстве,,Бетон,,,твердое ,V,
3 46 200 02 20 5,бой железобетонных изделий,Производство изделий из бетона для использования в строительстве,,"Бетон
Железо",,,твердое ,V,
3 46 200 03 42 4,пыль бетонная,Производство изделий из бетона для использования в строительстве,,Бетон ,,,пыль ,IV,
3 46 310 11 20 5,обрезь и брак гипсокартонных листов,Производство гипсокартона,,"Гипсовая масса
Картон",,,твердое ,V,
3 46 420 01 42 4,отходы асбоцемента в кусковой форме,Производство изделий из асбоцемента,,Асбоцемент,,,пыль ,IV,
3 46 420 02 42 3,пыль асбоцементная,Производство изделий из асбоцемента,,Асбоцемент,,,пыль ,III,
3 46 420 11 33 4,осадок очистки технологических вод производства асбестоцементных изделий,Производство асбестоцементных изделий,Очистка технологических вод производства асбестоцементных изделий,"Асбест
Цемент 
Вода",,,твердое в жидком (паста),IV,
3 46 910 01 39 4,осадок гашения извести при производстве известкового молока,"Производство продукции из бетона, цемента, гипса, извести",Производство известкового молока,,,,прочие дисперсные системы,IV,
3 48 100 11 20 4,сростки корунда с ферросплавом в производстве шлифовальных материалов,Производство шлифовальных материалов,,"Корунд
Ферросплав",,,твердое ,IV,
3 48 100 21 61 5,брак заготовок абразивных кругов,Производство абразивных изделий,,,,,изделие из одного вида волокна,V,
3 48 511 01 20 4,отходы асбеста в кусковой форме,"Производство обработанных асбестовых волокон, смесей на основе асбеста и изделий из них",,Асбест,,,твердое ,IV,
3 48 511 02 42 1,асбестовая пыль и волокно,"Производство обработанных асбестовых волокон, смесей на основе асбеста и изделий из них",,Асбест,,,пыль,I,
3 48 511 03 49 4,отходы асбеста в виде крошки,"Производство обработанных асбестовых волокон, смесей на основе асбеста и изделий из них",,Асбест,,,прочие сыпучие материалы,IV,
3 48 521 01 42 4,отходы асфальтобетона и/или асфальтобетонной смеси в виде пыли,Производство битуминозных смесей на основе природного асфальта или битума,,Асфальтобетон ,,,пыль,,
3 48 528 11 33 4,шлам газоочистки производства асфальта,Производство битуминозных смесей на основе природного асфальта или битума,Очистка отходящих газов,"Диоксид кремния
Вода",,,твердое в жидком (паста),IV,"Может содержать цинк, хром, кальций, магний, титан, марганец, железо в соединенях"
3 48 530 01 42 4,пыль графитная,Производство графита и продуктов на его основе,,Углерод,,,пыль ,IV,
3 48 550 31 20 4,брак шлаковаты,Производство минеральных тепло- и звукоизоляционных материалов и изделий из них,,,,,твердое ,IV,
3 48 550 32 42 4,пыль шлаковаты,Производство минеральных тепло- и звукоизоляционных материалов и изделий из них,,,,,пыль ,IV,
3 51 111 01 20 4,шлак доменный основной негранулированный,Производство чугуна,,"Диоксид кремния 
Оксид кальция
Оксид магния
Оксид алюминия",,,твердое ,IV,"Состав шлака доменного основного в процентах характеризуется модулем основности Мо, превышающим 1:
Мо= (CaO+MgO)/(SiO + Al2O3).
Может содержать оксид марганца, оксид железа (II), оксид натрия, оксид калия, оксид титана, оксид ванадия (V), серу"
3 51 111 11 49 4,шлак доменный основной гранулированный ,Производство чугуна,,"Диоксид кремния 
Оксид кальция
Оксид магния
Оксид алюминия",,,прочие сыпучие материалы,IV,"Состав шлака доменного основного в процентах характеризуется модулем основности Мо, превышающим 1:
Мо= CaO+MgO  разделить на  SiO + Al2O3 > 1. 
Может содержать оксид марганца, оксид железа (II), оксид натрия, оксид калия, оксид титана, оксид ванадия (V), серу"
3 51 210 21 20 4,шлаки сталеплавильные ,Производство стали,,"Диоксид кремния 
Оксид кальция
Оксид магния
Оксид алюминия",,,твердое ,IV,"Может содержать марганец, железо, фосфор, серу, углерод, в том числе в соединенях"
3 51 211 01 20 4,шлак зачистки оборудования электросталеплавильного производства,Производство стали,Зачистка оборудования электросталеплавильного производства,"Диоксид кремния
Оксид железа
Оксид кальция
Оксид алюминия",,,твердое ,IV,"Может содержать стронций, хром, медь, ванадий, марганец, титан, фосфор, серу в соединениях"
3 51 501 01 39 3,окалина замасленная прокатного производства с содержанием масла 15 % и более,Производство стального проката ,,"Оксиды железа  
Масла","
15","
",прочие дисперсные системы,III,
3 51 501 02 29 4,окалина замасленная прокатного производства с содержанием масла менее 15 %,Производство стального проката ,,"Оксиды железа  
Масла",,"
<15",прочие формы твердых веществ,IV,
3 51 901 01 20 5,электроды графитовые отработанные не загрязненные опасными веществами,"Производство чугуна, стали и ферросплавов",,,,,твердое ,V,
3 55 220 01 29 4,шлак печей переплава алюминиевого производства,Производство алюминия,,,,,прочие формы твердых веществ,IV,
3 55 230 01 42 3,пыль электрофильтров алюминиевого производства,Производство алюминия,,,,,пыль,III,
3 55 230 02 39 3,шлам минеральный от газоочистки производства алюминия,Производство алюминия,Очистка отходящих газов,,,,прочие дисперсные системы,III,
3 55 240 01 20 2,расплав электролита алюминиевого производства,Производство алюминия,,,,,твердое ,II,
3 55 240 02 20 3,отходы очистки зеркала  криолит-глиноземного расплава при производстве алюминия электролизом ,Производство алюминия,Очистка зеркала  криолит-глиноземного расплава при производстве алюминия электролизом ,"Диоксид кремния
Оксид натрия
Оксид кальция
Оксид алюминия
Углерод",,,твердое ,III,Может содержать фториды
3 55 250 01 20 4,огарки обожженных анодов алюминиевого производства,Производство алюминия,,,,,твердое ,IV,
3 55 410 01 29 5,шлаки плавки медных концентратов в отражательной печи производства черновой меди,Производство черновой меди,Плавка медных концентратов в отражательной печи ,,,,прочие формы твердых веществ,V,
3 55 420 01 42 3,"пыль газоочистки обжигового и плавильного переделов производства черновой меди, содержащая цветные металлы",Производство черновой меди,Очистка отходящих газов обжигового и плавильного переделов ,,,,пыль ,III,
3 55 492 21 29 3,шлак плавки лома и отходов медных сплавов в отражательной печи при производстве медных сплавов,Производства меди и медных сплавов из вторичного сырья,Плавка лома и отходов медных сплавов в отражательной печи при производстве медных сплавов,"Оксид меди
Оксид цинка
Оксид  алюминия
Оксид кремния
Оксид железа",,,прочие формы твердых веществ,III,"Может содержать  соединения никеля, олова, свинца, фосфора, хлора, кальция,  магния"
3 57 011 11 21 4,шлак плавки чугуна ,Литье металлов,Плавка чугуна,"Диоксид кремния
Оксид кальция
Оксид магния
Оксид железа",,,кусковая форма,IV,"Может содержать соединения алюминия, фосфора, серу"
3 57 031 11 20 4,шлаки плавки черных и цветных металлов в смеси ,Литье металлов,Плавка черных и цветных металлов в смеси ,"Диоксид кремния
Оксид кальция
Оксид алюминия
Оксид железа

",,,твердое ,IV,"Может содержатьмагний, натрий, калий, мышьяк, кадмий, кобальт, хром, медь, марганец, свинец, никель, цинк в соединениях"
3 57 150 01 49 4,песок формовочный горелый отработанный,Металлургическое производство,Литье черных металлов,,,,прочие сыпучие материалы,IV,
3 57 150 02 29 4,керамические формы от литья черных металлов отработанные,Металлургическое производство,Литье черных металлов,,,,прочие формы твердых веществ,IV,
3 57 191 21 33 4,отходы мокрой очистки  газов от вагранок,Литье металлов,Очистка отходящих газов при литье черных металлов,"Диоксид кремния
Оксид алюминия
Оксид железа
Вода

",,,твердое в жидком (паста),IV,может содержать оксид меди
3 57 195 11 42 4,пыль формовочной земли,Литье металлов,Очистка отходящих газов при литье черных металлов,"Диоксид кремния
Оксид кальция
Оксид алюминия
Оксид железа

",,,пыль ,IV,Может содержать оксид магния
3 57 229 11 40 3,фильтрующая загрузка древесная  газоочистки при литье свинца,Литье металлов,Очистка отходящих газов при литье свинца,"Древесина
Вода
Свинец",,,твердые сыпучие материалы ,III,
3 61 141 01 49 4,"окалина при механической очистке деталей из черных металлов, изготовленных  горячей штамповкой",,"Механическая очистка деталей из черных металлов, изготовленных  горячей штамповкой","Железо 
Оксиды железа",,,прочие сыпучие материалы,IV,
3 61 211 01 31 3,смазочно-охлаждающие масла отработанные при металлообработке,Производство готовых металлических изделий ,Механическая обработка металлов ,,,,жидкое в жидком (эмульсия),III,
3 61 212 01 22 5,стружка чугунная незагрязненная,Производство готовых металлических изделий ,Механическая обработка металлов ,Чугун,,,стружка,V,
3 61 212 02 22 5,стружка стальная незагрязненная,Производство готовых металлических изделий ,Механическая обработка металлов ,Сталь,,,стружка,V,
3 61 212 03 22 5,стружка черных металлов несортированная незагрязненная ,Производство готовых металлических изделий ,Механическая обработка металлов ,Черные металлы ,,,стружка,V,"может содержать чугун, сталь"
3 61 212 04 22 3,стружка медная незагрязненная,Производство готовых металлических изделий ,Механическая обработка металлов ,Медь,,,стружка,III,
3 61 212 05 22 5,стружка бронзы незагрязненная,Производство готовых металлических изделий ,Механическая обработка металлов,Бронза,,,стружка,V,
3 61 212 06 22 5,стружка латуни незагрязненная,Производство готовых металлических изделий ,Механическая обработка металлов,Латунь,,,стружка,V,
3 61 212 07 22 5,стружка алюминиевая незагрязненная ,Производство готовых металлических изделий ,Механическая обработка металлов,Алюминий,,,стружка,V,
3 61 212 08 22 5,стружка титана и титановых сплавов незагрязненная,Производство готовых металлических изделий ,Механическая обработка металлов,"Титан 
Сплавы титана",,,стружка,V,
3 61 212 09 22 3,стружка свинцовая незагрязненная,Производство готовых металлических изделий ,Механическая обработка металлов,Свинец,,,стружка,III,
3 61 212 11 22 3,стружка цинка незагрязненная,Производство готовых металлических изделий ,Механическая обработка металлов,Цинк,,,стружка,III,
3 61 212 12 22 4,стружка никеля незагрязненная,Производство готовых металлических изделий ,Механическая обработка металлов,Никель,,,стружка,IV,
3 61 212 13 22 4,стружка оловянная незагрязненная,Производство готовых металлических изделий ,Механическая обработка металлов,Олово,,,стружка,IV,
3 61 212 14 22 3,стружка хрома незагрязненная,Производство готовых металлических изделий ,Механическая обработка металлов,Хром,,,стружка,III,
