CodeFKKO,WasteName,OriginWaste,TechnologicalProcess,CompositionWaste,CompositionMin,CompositionMax,StateOfAggregation,HazardClass,Note
3 61 231 02 42 4,пыль газоочистки чугунная незагрязненная,Производство готовых металлических изделий ,Очистка отходящих газов при механической обработке черных металлов,Чугун,,,пыль,IV,
3 61 231 03 42 4,пыль газоочистки стальная незагрязненная,Производство готовых металлических изделий ,Очистка отходящих газов при механической обработке черных металлов,Сталь,,,пыль,IV,
3 61 231 44 42 4,пыль газоочистки при дробеструйной обработке черных металлов,Производство готовых металлических изделий ,Очистка отходящих газов при механической обработке черных металлов,"Диоксид кремния
Железо",,,пыль,IV,
3 61 232 01 42 4,пыль газоочистки меди и медных сплавов незагрязненная,Производство готовых металлических изделий ,Очистка отходящих газов при механической обработке цветных металлов,"Медь
Медные сплавы",,,пыль,IV,
3 61 232 02 42 4,пыль газоочистки алюминиевая незагрязненная,Производство готовых металлических изделий ,Очистка отходящих газов при механической обработке цветных металлов,Алюминий,,,пыль,IV,
3 61 232 03 42 4,пыль газоочистки титана незагрязненная,Производство готовых металлических изделий ,Очистка отходящих газов при механической обработке цветных металлов,Титан,,,пыль,IV,
3 61 232 04 42 2,пыль газоочистки свинца незагрязненная,Производство готовых металлических изделий ,Очистка отходящих газов при механической обработке цветных металлов,Свинец,,,пыль,II,
3 61 232 05 42 3,пыль газоочистки никеля незагрязненная,Производство готовых металлических изделий ,Очистка отходящих газов при механической обработке цветных металлов,Никель,,,пыль,III,
3 61 232 06 42 4,пыль газоочистки оловянная незагрязненная,Производство готовых металлических изделий ,Газоочистка при механической обработке цветных металлов,Олово,,,пыль,IV,
3 61 232 07 42 3,пыль газоочистки хрома незагрязненная,Производство готовых металлических изделий ,Очистка отходящих газов при механической обработке цветных металлов,Хром,,,пыль,III,
3 61 234 11 39 4,шлам газоочистки при полировке черных металлов абразивными материалами   ,Производство готовых металлических изделий ,Мокрая очистка отходящих газов при механической обработке черных металлов,"Диоксид кремния
Оксиды железа
Вода",,,прочие дисперсные системы,IV,
3 61 291 01 49 4,крошка косточковая от зачистки бункеров циклонов при обработке металлов шлифованием ,Производство готовых металлических изделий ,Зачистка оборудования при механической обработке металлов с применением  косточковой крошки,,,,прочие сыпучие материалы,IV,
3 61 310 01 51 5,электроды угольные отработанные незагрязненные,Производство готовых металлических изделий ,Сварочные работы,,,,изделие из одного материала,V,
3 61 331 01 39 4,отходы разложения карбида кальция при получении ацетилена для газовой сварки,Получение ацетилена для газовой сварки,Разложение карбида кальция,Гидроксид кальция,,,прочие дисперсные системы,IV,"Может содержать, диоксид кремния, гидроксид натрия, серу в соединениях, воду"
3 61 401 01 20 4,окалина при термической резке черных металлов,,Термическая резка черных металлов,Оксиды железа,,,твердое ,IV,"Может содержать диоксид кремния, соединения молибдена, марганца"
3 63 110 01 49 4,отходы песка от очистных и пескоструйных устройств,Производство готовых металлических изделий ,Пескоструйная обработка металлических поверхностей,,,,прочие сыпучие материалы,IV,
3 63 110 02 20 4,отходы металлической дроби с примесью шлаковой корки,Производство готовых металлических изделий ,Дробеструйная обработка металлических поверхностей,,,,твердое ,IV,
3 63 312 01 33 3,"осадок ванн фосфатирования, содержащий фосфаты цинка 7 % и более (в пересчете на цинк)",,Химическая обработка металлических поверхностей,"Вода 
Фосфаты цинка","
7",,твердое в жидком (паста),III,
3 63 312 02 39 4,"осадок ванн фосфатирования, содержащий фосфаты цинка менее 7 % (в пересчете на цинк)",,Химическая обработка металлических поверхностей,"Вода 
Фосфаты цинка",,"
<7",прочие дисперсные системы,IV,
3 63 331 01 10 2,растворы аммиачные травления меди отработанные,Производство готовых металлических изделий ,Химическая обработка металлических поверхностей травлением,,,,жидкое ,II,
3 63 485 31 39 3,осадки нейтрализации гальванических стоков цинкования и оловянирования,,Нейтрализация гальванических стоков цинкования и оловянирования,,,,прочие дисперсные системы,III,
3 63 512 21 39 3,шлам гидрофильтров окрасочных камер с водяной завесой,Обработка поверхности металлов и нанесения  покрытий на металлы,Обработка металлических поверхностей в окрасочных камерах с водяной завесой,"Вода
Лакокрасочные материалы",,,прочие дисперсные системы,III,Вид отходов для неидентифицированных лакокрасочных материалов
3 63 971 11 20 3,отходы очистки зеркала расплава свинца при горячем свинцевании металлических поверхностей ,Обработка поверхности металлов и нанесения  покрытий на металлы,Очиска зеркала расплава при горячем свинцевании металлических поверхностей методом погружения в расплав свинца,"Свинец
Оксид железа
Железо",,,твердое ,III,"Может содержать соединения никеля, кальция, магния"
3 63 971 21 20 3,отходы очистки зеркала расплава цинка при горячем цинковании металлических поверхностей,Обработка поверхности металлов и нанесения  покрытий на металлы,Очистка зеркала расплава при горячем цинковании металлических поверхностей методом погружения в расплав цинка,Цинк,,,твердое ,III,"Может содержать соединения  железа, натрия"
3 63 976 21 42 3,пыль газоочистки цинксодержащая при горячем цинковании металлических поверхностей,Обработка поверхности металлов и нанесения  покрытий на металлы,Очистка отходящих газов при горячем цинковании металлических поверхностей методом погружения в расплав цинка ,Оксид цинка,,,пыль,III,"Может содержать алюминий, железо,  кальций,  натрий, фосфор в соединениях"
4 02 110 01 62 4,"спецодежда из хлопчатобумажного и смешанных волокон, утратившая потребительские свойства, незагрязненная",,Использование по назначению с утратой потребительских свойств в пределах установленных сроков эксплуатации,,,,изделие из нескольких волокон,ІV,"В состав отхода могут входить ткани из натуральных (хлопок, лен, шерсть) и смешаных волокон.
Перечень волокон определяет производитель отхода."
4 02 111 01 62 4,ткани хлопчатобумажные и смешанные суровые фильтровальные отработанные незагрязненные,,Использование по назначению с утратой потребительских свойств ,,,,изделие из нескольких волокон,ІV,"В состав отхода могут входить ткани из хлопковых, полиэфирных (лавсан), полиамидных (капрон), поливинилхлоридных (хлорин), полиакрилонитрильных (нитрон) волокон.
Перечень волокон определяет производитель отхода."
4 02 131 01 62 5,"спецодежда из натуральных волокон, утратившая потребительские свойства, пригодная для изготовления ветоши",,Использование по назначению с утратой потребительских свойств в пределах установленных сроков эксплуатации,,,,изделие из нескольких волокон,V,"В состав отхода могут входить хлопок, лен, шерсть.
Перечень волокон определяет производитель отхода."
4 02 131 99 62 5,"прочие изделия из натуральных волокон, утратившие потребительские свойства, пригодные для изготовления ветоши",,Использование по назначению с утратой потребительских свойств в пределах установленных сроков эксплуатации,,,,изделия из нескольких видов волокон,V,"В состав отхода могут входить хлопок, лен, шерсть.
Перечень волокон определяет производитель отхода."
4 02 140 01 62 4,"спецодежда из синтетических и искусственных волокон, утратившая потребительские свойства, незагрязненная",,Использование по назначению с утратой потребительских свойств в пределах установленных сроков эксплуатации,,,,изделия из нескольких видов волокон,ІV,"В состав отхода могут входить вискоза, нейлон, лайкра, капрон и др.
Перечень волокон определяет производитель отхода."
4 02 170 01 62 4,"спецодежда  из шерстяных тканей, утратившая потребительские свойства, незагрязненная",,Использование по назначению с утратой потребительских свойств в пределах установленных сроков эксплуатации,Шерсть,,,изделия из нескольких видов волокон,ІV,
4 02 191 01 61 5,"валяно-войлочные изделия из шерстяного волокна, утратившие потребительские свойства, незагрязненные",,Использование по назначению с утратой потребительских свойств ,Шерсть,,,изделие из одного вида волокна,V,
4 02 311 01 62 3,"спецодежда из натуральных, синтетических, искусственных и шерстяных волокон, загрязненная нефтепродуктами (содержание нефтепродуктов 15 % и более)",,Использование по назначению с утратой потребительских свойств в связи с загрязнением,Нефтепродуты,15,,изделия из нескольких видов волокон,ІІІ,Перечень волокон определяет производитель отхода
4 02 312 01 62 4,"спецодежда из натуральных, синтетических, искусственных и шерстяных волокон, загрязненная нефтепродуктами (содержание нефтепродуктов менее 15 %)",,Использование по назначению с утратой потребительских свойств в связи с загрязнением,Нефтепродуты,,<15,изделия из нескольких видов волокон,ІV,Перечень волокон определяет производитель отхода
4 03 101 00 52 4,"обувь кожаная рабочая, утратившая потребительские свойства",,Использование по назначению с утратой потребительских свойств в пределах установленных сроков эксплуатации,,,,изделия из нескольких материалов,ІV,"В состав отхода могут входить кожа натуральная, кожа искусственная, резина, картон и другие материалы, используемые для изготовления обуви"
4 04 140 00 51 5,"тара деревянная, утратившая потребительские свойства, незагрязненная",,Использование по назначению с утратой потребительских свойств при транспортировке и хранении продукции,Древесина,,,изделие из одного материала,V,
4 04 190 00 51 5,"прочая продукция из натуральной древесины, утратившая потребительские свойства, незагрязненная",,Использование по назначению с утратой потребительских свойств в процессе эксплуатации или при хранении,Древесина,,,изделие из одного материала,V,
4 04 191 00 22 5,отходы древесной шерсти (упаковочной стружки),,Использование по назначению с утратой потребительских свойств ,Древесина,,,стружка,V,
4 04 210 01 51 4,отходы фанеры и изделий из нее незагрязненные,,"Использование, хранение, транспортирование с утратой потребительских свойств ",Древесина,,,изделия из одного материала,ІV,Может содержать связующие смолы
4 04 220 01 51 4,отходы древесно-стружечных плит и изделий из них незагрязненные,,"Использование, хранение, транспортирование с утратой потребительских свойств ",Древесина,,,изделия из одного материала,ІV,"Может содержать связущие смолы
Для уточнения компонентного состава см. ГОСТ, ТУ на изделия"
4 04 230 01 51 4,отходы древесно-волокнистых плит и изделий из них незагрязненные,,"Использование, хранение, транспортирование с утратой потребительских свойств ",Древесина,,,изделия из одного материала,ІV,"Может содержать связущие смолы
Для уточнения компонентного состава см. ГОСТ, ТУ на изделия"
4 04 240 01 51 4,отходы изделий из древесины с масляной пропиткой,,"Использование, хранение, транспортирование с утратой потребительских свойств ",Древесина,,,изделие из одного материала,ІV,В состав отхода входит масляный пропиточный материал
4 04 290 99 51 4,отходы изделий из древесины с пропиткой и покрытиями несортированные,,"Использование, хранение, транспортирование с утратой потребительских свойств ",Древесина,,,изделие из одного материала,ІV,"Для уточнения компонентного состава см. ГОСТ, ТУ на изделие"
4 05 121 01 20 5,"отходы потребления картона (кроме электроизоляционного, кровельного и обувного) с черно-белой и цветной печатью",,"Использование, хранение, транспортирование с утратой потребительских свойств ",Картон,,,твердое ,V,
4 05 122 01 60 5,"использованные книги, журналы, брошюры, проспекты, каталоги",,"Использование, хранение, транспортирование с утратой потребительских свойств ",Бумага,,,изделия из волокон,V,
4 05 122 02 60 5,отходы бумаги и картона от канцелярской деятельности и делопроизводства,,"Использование, хранение, транспортирование с утратой потребительских свойств ","Бумага
Картон",,,изделия из волокон,V,
4 05 122 03 60 5,отходы газет,,"Использование, хранение, транспортирование с утратой потребительских свойств ",Бумага,,,изделия из волокон,V,
4 05 181 01 60 5,"мешки бумажные невлагопрочные (без битумной пропитки, прослойки и армированных слоев), утратившие потребительские свойства, незагрязненные",,Использование по назначению с утратой потребительских свойств ,Бумага,,,изделия из волокон,V,
4 05 182 01 60 5,отходы упаковочной бумаги незагрязненные,,Использование по назначению с утратой потребительских свойств ,Бумага,,,изделия из волокон,V,
4 05 183 01 60 5,отходы упаковочного картона незагрязненные,,Использование по назначению с утратой потребительских свойств ,Картон,,,изделия из волокон,V,
4 05 184 01 60 5,отходы упаковочного гофрокартона незагрязненные,,Использование по назначению с утратой потребительских свойств ,Картон,,,изделия из волокон,V,
4 05 290 01 29 5,отходы бумаги вощеной ,,Использование по назначению с утратой потребительских свойств ,"Бумага 
Воск",,,прочие формы твердых веществ,V,
4 05 290 02 29 4,отходы бумаги с клеевым слоем,,Использование по назначению с утратой потребительских свойств ,Бумага ,,,прочие формы твердых веществ,ІV,В состав отхода входит клей
4 05 401 01 20 5,"отходы потребления различных видов картона, кроме черного и коричневого цветов",,Использование по назначению с утратой потребительских свойств ,Картон,,,твердое,V,
4 05 402 01 20 5,"отходы потребления различных видов белой и цветной бумаги, кроме черного и коричневого цветов",,Использование по назначению с утратой потребительских свойств ,Бумага,,,твердое,V,
4 05 403 01 20 5,"отходы потребления обойной, пачечной, шпульной и других видов бумаги",,Использование по назначению с утратой потребительских свойств ,Бумага,,,твердое,V,
4 05 510 01 29 4,отходы от резки денежных знаков (банкнот),,Резка денежных знаков (банкнот),Бумага,,,прочие формы твердых веществ,ІV,
4 05 810 01 29 4,"отходы бумаги и картона, содержащие отходы фотобумаги",,Использование по назначению с утратой потребительских свойств ,"Бумага
Картон",,,прочие формы твердых веществ,ІV,Содержит фотобумагу
4 05 811 01 60 5,отходы упаковочных материалов из бумаги и картона несортированные незагрязненные  ,,Использование по назначению с утратой потребительских свойств ,"Бумага
Картон",,,изделия из волокон,V,
4 05 911 31 60 4,"отходы упаковочных материалов из бумаги и картона, загрязненные неметаллическими нерастворимыми или малорастворимыми минеральными продуктами ",,Использование по назначению с утратой потребительских свойств ,"Бумага
Картон                                         ",,,изделия из волокон,ІV,"В состав отхода в качестве загрязнителя входят неметаллические нерастворимые или малорастворимые минеральные продукты, например, гипс, цемент и прочее"
4 05 912 01 60 3,"отходы упаковочных материалов из бумаги, загрязненные нефтепродуктами (содержание нефтепродуктов 15 % и более)",,Использование по назначению с утратой потребительских свойств ,"Бумага
Нефтепродукты","
15",,изделия из волокон,ІІІ,
4 05 912 02 60 4,"отходы упаковочных материалов из бумаги, загрязненные нефтепродуктами (содержание нефтепродуктов менее 15 %)",,Использование по назначению с утратой потребительских свойств ,"Бумага
Нефтепродукты",,"
<15",изделия из волокон,ІV,
4 05 915 11 51 4,"отходы упаковочных материалов из бумаги и картона, загрязненные        дигидрооксибензолами  ",,Использование по назначению с утратой потребительских свойств ,"Бумага 
Картон
Дигоидроокси-  бензол",,,изделие из одного материала,ІV,
4 05 913 01 60 5,"отходы упаковочных материалов из бумаги и картона, загрязненные пищевыми продуктами ",,Использование по назначению с утратой потребительских свойств ,"Бумага
Картон",,,изделия из волокон,V,В состав отхода в качестве загрязнителя входят пищевые продукты (указывает производитель отхода)
4 05 919 01 60 4,"отходы упаковочных материалов из бумаги и картона,  загрязненные средствами моющими, чистящими и полирующими",,Использование по назначению с утратой потребительских свойств,"Бумага
Картон",,,изделия из волокон,ІV,"В состав отхода в качестве загрязнителя входят моющие, чистящие, полирующие средства (указывает производитель отхода)"
4 06 110 01 31 3,отходы минеральных масел моторных,,Использование по назначению с утратой потребительских свойств ,"Масло минеральное
Вода",,,жидкое в жидком (эмульсия),ІІІ,Может содержать механические примеси
4 06 120 01 31 3,"отходы минеральных масел гидравлических, не содержащих галогены",,Использование по назначению с утратой потребительских свойств ,"Масло минеральное
Вода",,,жидкое в жидком (эмульсия),ІІІ,Может содержать механические примеси
4 06 130 01 31 3,отходы минеральных масел индустриальных,,Использование по назначению с утратой потребительских свойств ,"Масло минеральное
Вода",,,жидкое в жидком (эмульсия),ІІІ,Может содержать механические примеси
4 06 140 01 31 3,"отходы минеральных масел трансформаторных, не содержащих галогены",,Использование по назначению с утратой потребительских свойств ,"Масло минеральное
Вода",,,жидкое в жидком (эмульсия),ІІІ,Может содержать механические примеси
4 06 150 01 31 3,отходы минеральных масел трансмиссионных,,Использование по назначению с утратой потребительских свойств ,"Масло минеральное
Вода",,,жидкое в жидком (эмульсия),ІІІ,Может содержать механические примеси
4 06 166 01 31 3,отходы минеральных масел компрессорных,,Использование по назначению с утратой потребительских свойств ,"Масло минеральное
Вода",,,жидкое в жидком (эмульсия),ІІІ,Может содержать механические примеси
4 06 170 01 31 3,отходы минеральных масел турбинных,,Использование по назначению с утратой потребительских свойств ,"Масло минеральное
Вода",,,жидкое в жидком (эмульсия),ІІІ,Может содержать механические примеси
4 06 180 01 31 3,отходы минеральных масел технологических,,Использование по назначению с утратой потребительских свойств ,"Масло минеральное
Вода",,,жидкое в жидком (эмульсия),ІІІ,Может содержать механические примеси
4 06 190 01 31 3,отходы прочих минеральных масел,,Использование по назначению с утратой потребительских свойств ,"Масло минеральное
Вода",,,жидкое в жидком (эмульсия),ІІІ,Может содержать механические примеси
4 06 310 01 31 3,"нефтяные промывочные жидкости, утратившие потребительские свойства, не загрязненные веществамии 1-2 класса опасности",,Использование по назначению с утратой потребительских свойств ,"Масло минеральное
Вода",,,жидкое в жидком (эмульсия),ІІІ,Может содержать механические примеси
4 06 320 01 31 3,"смесь масел минеральных отработанных (трансмиссионных, осевых, обкаточных, цилиндровых) от термической обработки металлов",,Использование по назначению с утратой потребительских свойств ,"Масло минеральное
Вода",,,жидкое в жидком (эмульсия),ІІІ,Может содержать механические примеси
4 06 350 01 31 3,всплывшие нефтепродукты из нефтеловушек и аналогичных сооружений,,Механическая очистка нефтесодержащих сточных вод,"Нефтепродукты
Вода",,,жидкое в жидком (эмульсия),ІІІ,Может содержать механические примеси
4 06 350 11 32 3,"смеси нефтепродуктов прочие, извлекаемые из очистных сооружений нефтесодержащих вод, содержащие нефтепродукты более 70 %",,Механическая очистка нефтесодержащих сточных вод,"Нефтепродукты
Вода",70,,твердое в жидком (суспензия),ІІІ,Может содержать механические примеси
4 06 390 01 31 3,"смеси нефтепродуктов, собранные при зачистке средств хранения и транспортирования нефти и нефтепродуктов",,Зачистка средств хранения и транспортирования нефти и нефтепродуктов,"Нефтепродукты
Вода",,,жидкое в жидком (эмульсия),ІІІ,Может содержать механические примеси
4 06 410 01 39 3,отходы смазок на основе нефтяных масел,,"Транспортирование, хранение, использование по назначению с утратой потребительских свойств ","Масло минеральное
Вода",,,прочие дисперсные системы,ІІІ,Может содержать механические примеси
,,,,,,,,,
,,,,,,,,,
4 06 910 01 10 3,"остатки дизельного топлива, утратившего потребительские свойства",,"Транспортирование, хранение, использование по назначению с утратой потребительских свойств ","Дизельное топливо
Вода",,,жидкое,ІІІ,Может содержать механические примеси
4 06 910 02 31 3,"остатки керосина авиационного, утратившего потребительские свойства",,"Транспортирование, хранение, использование по назначению с утратой потребительских свойств ","Керосин
Вода",,,жидкое в жидком (эмульсия),ІІІ,Может содержать  механические примеси
4 13 100 01 31 3,отходы синтетических и полусинтетических масел моторных,,"Транспортирование, хранение, использование по назначению с утратой потребительских свойств ",,,,жидкое в жидком (эмульсия),ІІІ,"В состав отхода может входить масло синтетическое, масло полусинтетическое, вода, механические примеси"
4 13 200 01 31 3,отходы синтетических и полусинтетических масел индустриальных,,"Транспортирование, хранение, использование по назначению с утратой потребительских свойств ",,,,жидкое в жидком (эмульсия),ІІІ,"В состав отхода может входить масло синтетическое, масло полусинтетическое, вода, механические примеси"
4 13 300 01 31 3,отходы синтетических и полусинтетических масел электроизоляционных,,"Транспортирование, хранение, использование по назначению с утратой потребительских свойств ",,,,жидкое в жидком (эмульсия),ІІІ,"В состав отхода может входить масло синтетическое, масло полусинтетическое, вода, механические примеси"
4 13 400 01 31 3,отходы синтетических масел компрессорных,,"Транспортирование, хранение, использование по назначению с утратой потребительских свойств ",,,,жидкое в жидком (эмульсия),ІІІ,"В состав отхода может входить масло синтетическое, масло полусинтетическое, вода, механические примеси"
4 13 500 01 31 3,отходы прочих синтетических масел,,"Транспортирование, хранение, использование по назначению с утратой потребительских свойств ",,,,жидкое в жидком (эмульсия),ІІІ,"В состав отхода может входить масло синтетическое, масло полусинтетическое, вода, механические примеси"
4 13 600 01 31 3,отходы синтетических гидравлических жидкостей,,"Транспортирование, хранение, использование по назначению с утратой потребительских свойств ",,,,жидкое в жидком (эмульсия),ІІІ,
4 14 111 11 10 3,"отходы растворителей на основе трихлорэтилена, загрязненные   
минеральными маслами  
",,"Транспортирование, хранение, использование по назначению с утратой потребительских свойств ","Трихлорэтилен
Масло минеральное",,,жидкое,ІІІ,Может содержать механические примеси
4 14 121 11 31 3,"отходы растворителей на основе бензина, загрязненные  оксидами железа и/или кремния
",,"Транспортирование, хранение, использование по назначению с утратой потребительских свойств ","Бензин 
Оксиды железа
Оксид кремния
",,,жидкое в жидком (эмульсия),ІІІ,
4 14 121 21 31 3,"отходы растворителей на основе керосина, загрязненные  оксидами железа и/или кремния
",,"Транспортирование, хранение, использование по назначению с утратой потребительских свойств ","Керосин
Оксиды железа
Оксид кремния
",,,твердое в жидком (эмульсия),ІІІ,
4 14 122 21 10 3,отходы растворителей на основе толуола,,"Транспортирование, хранение, использование по назначению с утратой потребительских свойств ",Толуол,,,жидкое,ІІІ,Может содержать  механические примеси
4 14 122 31 31 3,"отходы растворителей на основе ксилола, загрязненные  оксидами  железа и кремния
",,"Транспортирование, хранение, использование по назначению с утратой потребительских свойств ","Ксилол
Оксиды железа
Оксид кремния
",,,твердое в жидком (эмульсия),ІІІ,
4 14 129 12 31 3,"отходы негалогенированных органических растворителей в смеси, загрязненные лакокрасочными материалами
",,"Транспортирование, хранение, использование по назначению с утратой потребительских свойств ","Негалогенированные органические растворители
Лакокрасочные материалы
",,,твердое в жидком (эмульсия),ІІІ,Может содержать  механические примеси
4 14 410 11 39 3 ,отходы материалов лакокрасочных на основе  акриловых полимеров в водной среде,,"Транспортирование, хранение, использование по назначению с утратой потребительских свойств ","Полимеры акриловые
Вода",,,прочие дисперсные системы,ІІІ,
4 14 420 11 39 3,отходы материалов лакокрасочных на основе алкидных смол в среде   негалогенированных органических  растворителей  ,,"Транспортирование, хранение, использование по назначению с утратой потребительских свойств ","Алкидные смолы
Негалогенированные органические  растворители",,,прочие дисперсные системы,ІІІ,
4 17 140 01 29 4,отходы фотобумаги,,"Транспортирование, хранение, использование по назначению с утратой потребительских свойств ",,,,прочие формы твердых веществ,ІV,
4 17 150 01 29 4,отходы фото- и кинопленки,,"Транспортирование, хранение, использование по назначению с утратой потребительских свойств ",,,,прочие формы твердых веществ,ІV,
4 17 211 01 10 3,отходы проявителей рентгеновской пленки ,,Использование по назначению с утратой потребительских свойств ,вода                                                 серебро                                                                               химические вещества,,,жидкое,ІІІ,
4 17 212 01 10 3,отходы фиксажных растворов при обработке рентгеновской пленки ,,Использование по назначению с утратой потребительских свойств ,вода                                                 серебро                                                                               химические вещества,,,жидкое,ІІІ,
4 17 212 02 10 4,отходы фиксажных растворов при обработке фотографической пленки ,,Использование по назначению с утратой потребительских свойств ,вода                                                 серебро                                                                               химические вещества,,,жидкое,ІV,
4 19 123 11 20 4,отходы клея  поливинилацетатного,,"Транспортирование, хранение, использование по назначению с утратой потребительских свойств ","Поливинилацетат
Полиуретан
Диоксид кремния
Вода",,,твердое,ІV,
